Outlet Code,Month,Units,Value
OA0323,2026-03,1,62000
OA0323,2026-04,5,470000
OA0323,2026-05,5,395000
OA0323,2026-06,5,470000
OA0323,2026-07,4,316000
OA0325,2026-02,2,158000
OA0326,2026-02,1,62000
OA0326,2026-03,1,68000
OA0326,2026-04,1,62000
OA0327,2026-02,1,79000
OA0329,2026-02,2,258000
OA0329,2026-03,4,248000
OA0329,2026-04,4,272000
OA0329,2026-05,2,258000
OA0329,2026-06,3,186000
OA0329,2026-07,3,237000
OA0330,2026-02,1,62000
OA0330,2026-03,1,62000
OA0330,2026-04,1,68000
OA0330,2026-05,1,68000
OA0331,2026-02,4,376000
OA0331,2026-03,2,124000
OA0331,2026-04,2,258000
OA0331,2026-05,2,188000
OA0331,2026-06,3,186000
OA0331,2026-07,2,124000
OA0334,2026-03,1,68000
OA0335,2026-02,1,68000
OA0336,2026-02,1,68000
OA0336,2026-03,1,62000
OA0336,2026-04,1,68000
OA0336,2026-05,1,62000
OA0338,2026-02,20,1240000
OA0338,2026-03,20,1580000
OA0338,2026-04,4,516000
OA0338,2026-05,16,1264000
OA0338,2026-06,17,1598000
OA0338,2026-07,21,1302000
OA0339,2026-02,6,774000
OA0339,2026-03,7,476000
OA0339,2026-04,6,564000
OA0339,2026-06,2,258000
OA0339,2026-07,2,258000
OA0340,2026-02,1,68000
OA0341,2026-02,1,62000
OA0345,2026-02,2,158000
OA0345,2026-03,1,68000
OA0345,2026-04,2,158000
OA0348,2026-02,2,136000
OA0348,2026-03,3,387000
OA0348,2026-04,2,188000
OA0348,2026-05,2,136000
OA0348,2026-06,3,186000
OA0348,2026-07,2,158000
OA0351,2026-02,1,79000
OA0351,2026-03,3,186000
OA0351,2026-04,4,316000
OA0351,2026-05,4,272000
OA0353,2026-02,10,680000
OA0353,2026-03,3,204000
OA0353,2026-04,12,1548000
OA0353,2026-05,8,632000
OA0353,2026-06,4,376000
OA0353,2026-07,12,1128000
OA0354,2026-02,6,474000
OA0354,2026-03,38,3572000
OA0354,2026-04,28,1904000
OA0354,2026-05,24,1896000
OA0354,2026-06,46,4324000
OA0354,2026-07,16,992000
OA0357,2026-02,16,992000
OA0357,2026-03,1,68000
OA0357,2026-04,16,1504000
OA0357,2026-05,8,752000
OA0357,2026-06,12,816000
OA0357,2026-07,17,1343000
OA0358,2026-02,13,884000
OA0358,2026-03,5,310000
OA0358,2026-04,2,258000
OA0358,2026-05,7,434000
OA0358,2026-06,1,68000
OA0358,2026-07,7,434000
OA0360,2026-02,25,2350000
OA0360,2026-03,25,1550000
OA0360,2026-04,20,1580000
OA0360,2026-05,8,496000
OA0360,2026-06,22,1738000
OA0360,2026-07,33,2244000
OA0363,2026-02,34,4386000
OA0363,2026-03,23,2162000
OA0363,2026-04,12,816000
OA0363,2026-05,37,2294000
OA0363,2026-06,34,4386000
OA0363,2026-07,15,1020000
OA0365,2026-02,1,79000
OA0365,2026-03,1,62000
OA0365,2026-04,1,68000
OA0365,2026-05,1,68000
OA0366,2026-02,20,1360000
OA0366,2026-03,28,2212000
OA0366,2026-04,30,2820000
OA0366,2026-05,7,434000
OA0366,2026-06,30,2040000
OA0366,2026-07,28,3612000
OA0368,2026-02,3,237000
OA0368,2026-03,3,204000
OA0368,2026-04,2,188000
OA0368,2026-05,2,188000
OA0368,2026-06,5,395000
OA0368,2026-07,5,470000
OA0369,2026-02,1,62000
OA0369,2026-03,1,62000
OA0371,2026-02,1,68000
OA0371,2026-03,1,68000
OA0371,2026-04,1,68000
OA0371,2026-05,1,79000
OA0373,2026-02,0,0
OA0373,2026-03,4,316000
OA0373,2026-04,2,258000
OA0373,2026-05,4,248000
OA0373,2026-06,2,158000
OA0373,2026-07,4,272000
OA0375,2026-02,2,158000
OA0375,2026-03,2,124000
OA0376,2026-02,2,124000
OA0376,2026-03,2,158000
OA0379,2026-02,3,237000
OA0379,2026-03,3,237000
OA0379,2026-04,3,237000
OA0380,2026-02,1,129000
OA0380,2026-03,1,79000
OA0380,2026-04,1,129000
OA0380,2026-05,3,282000
OA0380,2026-06,5,645000
OA0380,2026-07,2,124000
OA0381,2026-02,63,5922000
OA0381,2026-03,24,2256000
OA0381,2026-04,69,4278000
OA0381,2026-05,26,3354000
OA0381,2026-06,47,4418000
OA0381,2026-07,47,6063000
OA0382,2026-02,1,129000
OA0382,2026-03,1,68000
OA0382,2026-04,3,204000
OA0382,2026-05,2,258000
OA0382,2026-06,1,68000
OA0382,2026-07,3,282000
OA0383,2026-02,4,272000
OA0383,2026-04,5,310000
OA0383,2026-05,1,79000
OA0383,2026-06,4,272000
OA0383,2026-07,1,68000
OA0384,2026-02,2,188000
OA0384,2026-03,3,387000
OA0384,2026-04,4,248000
OA0384,2026-05,3,237000
OA0384,2026-06,2,136000
OA0384,2026-07,2,158000
OA0387,2026-02,10,680000
OA0387,2026-03,20,1880000
OA0387,2026-04,36,4644000
OA0387,2026-05,16,992000
OA0387,2026-06,15,1410000
OA0387,2026-07,14,868000
OA0388,2026-02,1,62000
OA0388,2026-03,2,124000
OA0388,2026-05,0,0
OA0388,2026-06,1,68000
OA0388,2026-07,2,188000
OA0391,2026-02,7,903000
OA0391,2026-03,3,282000
OA0391,2026-04,8,1032000
OA0391,2026-05,9,1161000
OA0391,2026-06,6,564000
OA0391,2026-07,2,124000
OA0394,2026-02,42,2604000
OA0394,2026-03,47,6063000
OA0394,2026-04,41,3854000
OA0394,2026-05,55,4345000
OA0394,2026-06,42,3318000
OA0394,2026-07,63,3906000
OA0396,2026-02,5,395000
OA0396,2026-03,2,158000
OA0396,2026-04,4,316000
OA0398,2026-02,1,79000
OA0398,2026-03,1,68000
OA0398,2026-04,1,79000
OA0398,2026-05,1,68000
OA0399,2026-02,1,68000
OA0399,2026-03,2,188000
OA0399,2026-04,1,129000
OA0399,2026-05,1,62000
OA0399,2026-06,2,124000
OA0399,2026-07,2,258000
OA0400,2026-02,6,408000
OA0400,2026-03,9,612000
OA0400,2026-04,11,682000
OA0400,2026-05,8,544000
OA0400,2026-06,11,869000
OA0400,2026-07,5,395000
OA0401,2026-02,1,68000
OA0401,2026-03,3,204000
OA0407,2026-02,11,869000
OA0407,2026-03,3,387000
OA0407,2026-04,8,496000
OA0407,2026-05,10,680000
OA0407,2026-06,1,79000
OA0407,2026-07,4,376000
OA0409,2026-02,19,1292000
OA0409,2026-03,5,645000
OA0409,2026-04,17,1598000
OA0409,2026-05,15,1185000
OA0409,2026-06,7,553000
OA0409,2026-07,6,372000
OA0411,2026-02,3,204000
OA0412,2026-02,1,68000
OA0413,2026-02,10,1290000
OA0413,2026-03,15,1935000
OA0413,2026-04,15,1020000
OA0413,2026-05,31,1922000
OA0413,2026-06,25,2350000
OA0413,2026-07,5,340000
OA0414,2026-02,1,62000
OA0414,2026-03,3,237000
OA0414,2026-04,2,124000
OA0415,2026-02,5,310000
OA0415,2026-03,8,544000
OA0415,2026-04,6,372000
OA0415,2026-05,5,645000
OA0415,2026-06,6,408000
OA0415,2026-07,3,387000
OA0417,2026-02,20,1580000
OA0417,2026-03,24,1632000
OA0417,2026-04,21,1659000
OA0417,2026-05,9,612000
OA0417,2026-06,26,2054000
OA0417,2026-07,35,2765000
OA0418,2026-02,1,79000
OA0418,2026-03,2,124000
OA0418,2026-04,4,316000
OA0418,2026-05,1,79000
OA0419,2026-02,1,79000
OA0419,2026-03,1,68000
OA0420,2026-02,4,376000
OA0420,2026-03,10,620000
OA0420,2026-04,1,68000
OA0420,2026-05,9,711000
OA0420,2026-06,11,869000
OA0420,2026-07,6,408000
OA0421,2026-02,6,372000
OA0421,2026-03,6,372000
OA0421,2026-04,10,620000
OA0422,2026-02,7,658000
OA0422,2026-03,19,2451000
OA0422,2026-04,54,3672000
OA0422,2026-05,31,2108000
OA0422,2026-06,18,1116000
OA0422,2026-07,31,3999000
OA0423,2026-02,1,68000
OA0423,2026-03,3,204000
OA0423,2026-04,2,136000
OA0423,2026-05,0,0
OA0423,2026-06,1,94000
OA0423,2026-07,1,79000
OA0429,2026-02,4,272000
OA0430,2026-02,8,632000
OA0430,2026-03,2,124000
OA0432,2026-03,1,68000
OA0433,2026-02,3,282000
OA0433,2026-03,10,790000
OA0433,2026-04,2,158000
OA0433,2026-05,1,129000
OA0433,2026-06,7,553000
OA0433,2026-07,10,1290000
OA0435,2026-02,2,258000
OA0435,2026-04,3,204000
OA0435,2026-05,3,387000
OA0435,2026-06,2,188000
OA0435,2026-07,3,186000
OA0437,2026-02,3,204000
OA0437,2026-03,7,553000
OA0437,2026-04,7,553000
OA0437,2026-05,2,188000
OA0437,2026-06,7,476000
OA0437,2026-07,3,387000
OA0440,2026-02,1,79000
OA0440,2026-03,1,79000
OA0442,2026-02,7,553000
OA0442,2026-03,3,387000
OA0442,2026-04,5,395000
OA0442,2026-05,6,564000
OA0442,2026-06,4,272000
OA0442,2026-07,5,340000
OA0445,2026-03,1,62000
OA0446,2026-02,28,1736000
OA0446,2026-03,37,3478000
OA0446,2026-04,46,4324000
OA0446,2026-05,18,1116000
OA0446,2026-06,24,2256000
OA0446,2026-07,30,3870000
OA0448,2026-02,1,94000
OA0448,2026-04,2,188000
OA0448,2026-05,1,79000
OA0448,2026-06,2,188000
OA0448,2026-07,0,0
OA0453,2026-02,7,903000
OA0453,2026-03,3,387000
OA0453,2026-04,11,1034000
OA0453,2026-05,4,316000
OA0453,2026-06,7,476000
OA0453,2026-07,9,558000
OA0454,2026-03,1,62000
OA0455,2026-02,13,806000
OA0455,2026-03,15,1185000
OA0455,2026-04,15,1410000
OA0455,2026-05,7,903000
OA0455,2026-06,5,395000
OA0455,2026-07,12,1128000
OA0457,2026-02,1,68000
OA0457,2026-03,1,68000
OA0459,2026-02,23,1426000
OA0459,2026-03,18,2322000
OA0459,2026-04,23,2967000
OA0459,2026-05,20,1360000
OA0459,2026-06,16,1264000
OA0459,2026-07,5,645000
OA0461,2026-02,7,553000
OA0461,2026-03,7,434000
OA0461,2026-04,5,395000
OA0461,2026-05,8,1032000
OA0461,2026-06,6,564000
OA0461,2026-07,11,1034000
OA0464,2026-02,4,516000
OA0464,2026-04,3,282000
OA0464,2026-05,3,204000
OA0464,2026-06,3,204000
OA0464,2026-07,3,186000
OA0465,2026-02,1,79000
OA0465,2026-03,3,387000
OA0465,2026-04,4,272000
OA0465,2026-05,5,340000
OA0465,2026-06,2,124000
OA0465,2026-07,1,62000
OA0466,2026-02,5,470000
OA0466,2026-03,2,158000
OA0466,2026-04,3,387000
OA0466,2026-05,4,316000
OA0466,2026-06,4,316000
OA0466,2026-07,3,387000
OA0467,2026-02,1,68000
OA0467,2026-04,3,186000
OA0467,2026-06,2,158000
OA0468,2026-02,3,186000
OA0468,2026-03,1,129000
OA0468,2026-04,3,186000
OA0468,2026-05,2,158000
OA0468,2026-06,0,0
OA0468,2026-07,2,158000
OA0469,2026-03,1,68000
OA0470,2026-02,3,186000
OA0470,2026-03,8,544000
OA0470,2026-04,8,632000
OA0470,2026-05,5,645000
OA0470,2026-06,8,752000
OA0470,2026-07,7,476000
OA0471,2026-02,35,2765000
OA0471,2026-03,23,1564000
OA0471,2026-04,29,2726000
OA0471,2026-05,55,3410000
OA0471,2026-06,10,940000
OA0471,2026-07,38,2356000
OA0472,2026-02,69,4278000
OA0472,2026-03,19,1292000
OA0472,2026-04,66,6204000
OA0472,2026-05,38,3572000
OA0472,2026-06,31,1922000
OA0472,2026-07,59,4661000
OA0473,2026-02,3,204000
OA0473,2026-03,2,124000
OA0473,2026-04,1,79000
OA0473,2026-05,1,68000
OA0474,2026-02,0,0
OA0474,2026-03,2,258000
OA0474,2026-04,0,0
OA0474,2026-05,3,186000
OA0474,2026-06,1,129000
OA0474,2026-07,2,124000
OA0476,2026-02,3,186000
OA0476,2026-03,2,124000
OA0476,2026-04,3,204000
OA0476,2026-05,2,258000
OA0476,2026-06,2,124000
OA0476,2026-07,4,272000
OA0477,2026-02,1,62000
OA0477,2026-03,1,68000
OA0477,2026-04,1,68000
OA0480,2026-02,2,158000
OA0480,2026-03,3,204000
OA0480,2026-04,3,237000
OA0480,2026-05,1,62000
OA0481,2026-03,1,62000
OA0483,2026-02,2,124000
OA0483,2026-03,2,136000
OA0484,2026-02,6,474000
OA0484,2026-03,6,408000
OA0484,2026-04,4,316000
OA0484,2026-05,14,1316000
OA0484,2026-06,1,94000
OA0484,2026-07,9,1161000
OA0486,2026-02,1,68000
OA0486,2026-03,1,62000
OA0490,2026-02,2,158000
OA0490,2026-03,1,68000
OA0490,2026-04,0,0
OA0490,2026-05,1,68000
OA0490,2026-06,2,258000
OA0490,2026-07,3,237000
OA0491,2026-02,1,68000
OA0491,2026-03,4,316000
OA0491,2026-04,1,129000
OA0491,2026-05,2,258000
OA0491,2026-06,1,79000
OA0492,2026-02,7,476000
OA0492,2026-03,9,1161000
OA0492,2026-04,9,612000
OA0492,2026-06,10,940000
OA0492,2026-07,14,868000
OA0494,2026-02,1,68000
OA0499,2026-02,9,558000
OA0499,2026-03,7,434000
OA0503,2026-02,4,272000
OA0503,2026-03,2,158000
OA0503,2026-04,5,470000
OA0503,2026-05,2,158000
OA0503,2026-06,2,188000
OA0503,2026-07,2,258000
OA0509,2026-02,5,310000
OA0509,2026-03,5,470000
OA0509,2026-04,3,186000
OA0509,2026-05,6,774000
OA0509,2026-06,5,340000
OA0509,2026-07,7,434000
OA0511,2026-02,12,816000
OA0511,2026-03,16,2064000
OA0511,2026-04,15,930000
OA0511,2026-06,1,129000
OA0511,2026-07,6,474000
OA0512,2026-02,4,272000
OA0517,2026-02,5,340000
OA0517,2026-03,9,612000
OA0517,2026-04,2,158000
OA0519,2026-02,22,1364000
OA0519,2026-03,31,2449000
OA0519,2026-04,51,3162000
OA0519,2026-05,18,1692000
OA0519,2026-06,54,5076000
OA0519,2026-07,32,2528000
OA0520,2026-02,38,2584000
OA0520,2026-03,46,3634000
OA0520,2026-04,20,2580000
OA0520,2026-05,45,3060000
OA0520,2026-06,45,3555000
OA0520,2026-07,14,1806000
OA0521,2026-02,1,79000
OA0521,2026-03,1,62000
OA0522,2026-02,30,2820000
OA0522,2026-03,44,5676000
OA0522,2026-04,30,2820000
OA0522,2026-05,27,2133000
OA0522,2026-06,53,4982000
OA0522,2026-07,29,2291000
OA0525,2026-02,1,62000
OA0525,2026-03,1,79000
OA0525,2026-04,1,68000
OA0526,2026-02,0,0
OA0526,2026-03,28,1736000
OA0526,2026-04,24,3096000
OA0526,2026-05,5,645000
OA0526,2026-06,16,1504000
OA0526,2026-07,24,2256000
OA0528,2026-02,26,1768000
OA0528,2026-03,7,553000
OA0528,2026-04,20,1240000
OA0528,2026-05,22,2838000
OA0528,2026-06,15,1935000
OA0528,2026-07,15,930000
OA0532,2026-02,4,376000
OA0532,2026-03,12,744000
OA0532,2026-04,5,470000
OA0532,2026-05,6,408000
OA0532,2026-06,7,476000
OA0532,2026-07,7,658000
OA0533,2026-02,2,158000
OA0533,2026-03,1,68000
OA0533,2026-04,1,68000
OA0533,2026-05,1,79000
OA0534,2026-02,4,516000
OA0534,2026-03,23,1817000
OA0534,2026-04,18,1116000
OA0534,2026-05,21,2709000
OA0534,2026-06,13,884000
OA0534,2026-07,31,3999000
OA0535,2026-02,1,68000
OA0535,2026-03,2,258000
OA0535,2026-04,3,237000
OA0535,2026-05,3,186000
OA0535,2026-06,2,124000
OA0535,2026-07,4,376000
OA0536,2026-02,11,1419000
OA0536,2026-03,22,1364000
OA0536,2026-04,9,846000
OA0536,2026-05,34,2108000
OA0536,2026-06,19,1292000
OA0536,2026-07,27,3483000
OA0537,2026-02,12,1128000
OA0537,2026-03,9,1161000
OA0537,2026-04,9,711000
OA0537,2026-05,4,516000
OA0537,2026-07,4,376000
OA0540,2026-02,2,188000
OA0540,2026-03,0,0
OA0540,2026-04,1,94000
OA0540,2026-05,3,237000
OA0540,2026-06,1,79000
OA0544,2026-02,12,816000
OA0544,2026-03,19,1501000
OA0544,2026-04,5,645000
OA0544,2026-05,2,188000
OA0544,2026-06,19,1292000
OA0544,2026-07,13,1222000
OA0545,2026-02,13,1222000
OA0545,2026-03,10,940000
OA0545,2026-04,4,316000
OA0545,2026-05,11,682000
OA0545,2026-06,2,158000
OA0545,2026-07,14,1106000
OA0547,2026-02,5,310000
OA0547,2026-03,3,186000
OA0547,2026-04,3,387000
OA0547,2026-05,4,316000
OA0547,2026-06,6,408000
OA0547,2026-07,5,395000
OA0548,2026-02,4,376000
OA0548,2026-03,5,645000
OA0548,2026-04,3,237000
OA0548,2026-05,5,470000
OA0548,2026-06,7,658000
OA0548,2026-07,3,237000
OA0550,2026-02,39,2652000
OA0550,2026-03,29,1972000
OA0550,2026-04,19,1786000
OA0550,2026-05,27,3483000
OA0550,2026-06,40,2720000
OA0550,2026-07,11,869000
OA0551,2026-02,3,186000
OA0551,2026-03,2,158000
OA0553,2026-02,1,79000
OA0553,2026-03,1,79000
OA0553,2026-04,1,68000
OA0553,2026-05,1,68000
OA0554,2026-02,1,79000
OA0554,2026-03,1,62000
OA0554,2026-04,1,62000
OA0554,2026-05,1,79000
OA0557,2026-02,7,476000
OA0557,2026-03,6,774000
OA0557,2026-04,5,310000
OA0557,2026-05,7,476000
OA0557,2026-06,5,645000
OA0557,2026-07,6,408000
OA0558,2026-02,1,79000
OA0558,2026-03,7,434000
OA0558,2026-04,3,186000
OA0560,2026-02,1,68000
OA0560,2026-03,1,62000
OA0562,2026-02,1,62000
OA0562,2026-03,1,62000
OA0562,2026-04,2,158000
OA0562,2026-05,1,94000
OA0562,2026-06,2,136000
OA0562,2026-07,2,258000
OA0564,2026-02,1,62000
OA0564,2026-03,1,68000
OA0564,2026-04,2,158000
OA0564,2026-05,2,158000
OA0565,2026-02,1,68000
OA0567,2026-02,1,79000
OA0568,2026-02,5,470000
OA0568,2026-04,2,124000
OA0568,2026-05,2,124000
OA0568,2026-06,1,68000
OA0568,2026-07,3,186000
OA0569,2026-02,4,248000
OA0570,2026-03,2,158000
OA0570,2026-04,1,79000
OA0570,2026-05,1,62000
OA0570,2026-06,0,0
OA0570,2026-07,2,258000
OA0573,2026-02,1,68000
OA0574,2026-02,4,516000
OA0574,2026-03,0,0
OA0574,2026-04,5,470000
OA0574,2026-05,3,282000
OA0574,2026-06,6,564000
OA0574,2026-07,4,248000
OA0577,2026-02,2,136000
OA0577,2026-03,8,632000
OA0577,2026-04,8,496000
OA0577,2026-05,6,774000
OA0577,2026-06,5,395000
OA0577,2026-07,3,237000
OA0578,2026-02,10,1290000
OA0578,2026-03,7,658000
OA0578,2026-04,17,2193000
OA0578,2026-05,13,884000
OA0578,2026-07,36,2844000
OA0581,2026-02,5,395000
OA0582,2026-02,2,136000
OA0582,2026-03,2,158000
OA0583,2026-02,49,3871000
OA0583,2026-03,31,3999000
OA0583,2026-04,50,3100000
OA0583,2026-05,19,1178000
OA0583,2026-06,30,3870000
OA0583,2026-07,64,8256000
OA0584,2026-02,2,158000
OA0584,2026-03,0,0
OA0584,2026-05,1,79000
OA0584,2026-06,2,136000
OA0584,2026-07,1,79000
OA0585,2026-03,1,68000
OA0586,2026-02,1,68000
OA0586,2026-03,2,124000
OA0587,2026-02,1,94000
OA0587,2026-03,2,258000
OA0587,2026-04,1,129000
OA0587,2026-05,1,68000
OA0587,2026-06,4,516000
OA0587,2026-07,1,94000
OA0588,2026-02,16,2064000
OA0588,2026-03,4,272000
OA0588,2026-04,5,645000
OA0588,2026-05,10,940000
OA0588,2026-06,9,612000
OA0588,2026-07,11,682000
OA0589,2026-03,1,68000
OA0591,2026-02,1,129000
OA0591,2026-03,2,258000
OA0591,2026-04,0,0
OA0591,2026-06,1,79000
OA0591,2026-07,1,129000
OA0594,2026-02,2,136000
OA0594,2026-03,3,186000
OA0594,2026-04,1,129000
OA0594,2026-05,2,136000
OA0594,2026-06,1,62000
OA0594,2026-07,1,62000
OA0595,2026-02,11,1419000
OA0595,2026-03,15,1935000
OA0595,2026-04,33,4257000
OA0595,2026-05,11,748000
OA0595,2026-06,28,2212000
OA0595,2026-07,13,806000
OA0596,2026-03,3,237000
OA0596,2026-04,3,237000
OA0596,2026-05,3,282000
OA0596,2026-06,3,237000
OA0596,2026-07,3,387000
OA0597,2026-02,6,408000
OA0597,2026-03,5,470000
OA0597,2026-04,3,282000
OA0597,2026-05,3,387000
OA0597,2026-06,5,340000
OA0597,2026-07,6,372000
OA0598,2026-02,1,62000
OA0599,2026-02,1,68000
OA0599,2026-03,1,68000
OA0599,2026-04,2,124000
OA0600,2026-02,7,434000
OA0600,2026-03,4,248000
OA0600,2026-04,4,248000
OA0600,2026-05,2,158000
OA0600,2026-06,6,774000
OA0600,2026-07,5,310000
OA0602,2026-02,8,1032000
OA0602,2026-03,3,204000
OA0602,2026-04,3,387000
OA0602,2026-05,8,1032000
OA0602,2026-06,2,124000
OA0602,2026-07,3,186000
OA0603,2026-02,29,1972000
OA0603,2026-03,28,2632000
OA0603,2026-04,10,680000
OA0603,2026-05,30,1860000
OA0603,2026-06,47,6063000
OA0603,2026-07,43,5547000
OA0604,2026-02,1,94000
OA0604,2026-03,5,645000
OA0604,2026-04,1,68000
OA0604,2026-05,1,94000
OA0604,2026-06,2,136000
OA0604,2026-07,4,272000
OA0605,2026-02,4,248000
OA0605,2026-03,3,237000
OA0605,2026-04,6,372000
OA0608,2026-02,1,62000
OA0608,2026-03,1,62000
OA0611,2026-02,1,62000
OA0611,2026-03,1,79000
OA0611,2026-04,1,62000
OA0612,2026-02,10,790000
OA0612,2026-03,2,188000
OA0612,2026-04,3,282000
OA0612,2026-05,6,408000
OA0612,2026-06,6,474000
OA0612,2026-07,5,340000
OA0613,2026-02,6,408000
OA0614,2026-02,1,79000
OA0616,2026-02,1,79000
OA0616,2026-03,1,68000
OA0616,2026-04,2,258000
OA0616,2026-05,2,258000
OA0616,2026-06,1,94000
OA0616,2026-07,2,124000
OA0618,2026-02,18,1116000
OA0618,2026-03,33,2046000
OA0618,2026-04,23,1817000
OA0618,2026-05,8,1032000
OA0618,2026-06,16,2064000
OA0618,2026-07,24,1488000
OA0619,2026-02,1,62000
OA0621,2026-02,10,940000
OA0621,2026-03,15,930000
OA0621,2026-04,32,2528000
OA0621,2026-05,6,564000
OA0621,2026-06,19,1178000
OA0621,2026-07,3,387000
OA0624,2026-02,1,62000
OA0624,2026-03,2,124000
OA0624,2026-04,1,68000
OA0624,2026-05,2,136000
OA0625,2026-02,6,564000
OA0625,2026-03,9,1161000
OA0625,2026-04,12,744000
OA0625,2026-05,7,434000
OA0625,2026-06,4,272000
OA0625,2026-07,10,680000
OA0626,2026-02,45,3060000
OA0626,2026-03,50,4700000
OA0626,2026-04,36,2844000
OA0626,2026-05,36,4644000
OA0626,2026-06,33,3102000
OA0626,2026-07,31,3999000
OA0627,2026-02,0,0
OA0627,2026-03,2,188000
OA0627,2026-04,2,158000
OA0627,2026-05,2,188000
OA0627,2026-06,2,258000
OA0627,2026-07,2,136000
OA0630,2026-03,1,68000
OA0631,2026-02,1,129000
OA0631,2026-03,4,376000
OA0631,2026-04,2,136000
OA0631,2026-05,1,62000
OA0631,2026-06,0,0
OA0631,2026-07,1,94000
OA0632,2026-02,26,1612000
OA0632,2026-03,53,6837000
OA0632,2026-04,56,4424000
OA0632,2026-05,18,1692000
OA0632,2026-06,5,645000
OA0632,2026-07,27,2538000
OA0633,2026-02,2,158000
OA0633,2026-03,2,136000
OA0633,2026-04,1,62000
OA0633,2026-05,3,237000
OA0634,2026-03,1,62000
OA0636,2026-02,43,3397000
OA0636,2026-03,12,948000
OA0636,2026-04,62,5828000
OA0636,2026-05,61,4819000
OA0636,2026-06,33,2046000
OA0636,2026-07,46,4324000
OA0637,2026-02,2,188000
OA0637,2026-03,1,129000
OA0637,2026-04,5,470000
OA0637,2026-06,2,158000
OA0637,2026-07,2,258000
OA0639,2026-02,2,124000
OA0639,2026-03,7,476000
OA0639,2026-04,7,903000
OA0639,2026-05,4,376000
OA0639,2026-06,8,544000
OA0639,2026-07,8,544000
OA0641,2026-02,1,79000
OA0641,2026-03,1,68000
OA0641,2026-04,1,62000
OA0641,2026-05,1,79000
OA0646,2026-02,3,237000
OA0646,2026-03,3,282000
OA0646,2026-04,1,94000
OA0646,2026-05,0,0
OA0646,2026-06,2,136000
OA0646,2026-07,2,136000
OA0647,2026-02,6,474000
OA0647,2026-03,4,248000
OA0647,2026-04,6,408000
OA0647,2026-05,5,395000
OA0647,2026-06,5,310000
OA0647,2026-07,3,237000
OA0651,2026-02,47,6063000
OA0651,2026-03,64,3968000
OA0651,2026-04,66,4488000
OA0651,2026-05,42,5418000
OA0651,2026-06,21,2709000
OA0651,2026-07,33,4257000
OA0652,2026-02,3,282000
OA0652,2026-03,1,68000
OA0652,2026-04,5,645000
OA0652,2026-05,8,496000
OA0652,2026-06,10,1290000
OA0652,2026-07,8,544000
OA0654,2026-02,2,158000
OA0654,2026-03,2,136000
OA0654,2026-04,4,272000
OA0654,2026-05,3,186000
OA0658,2026-02,0,0
OA0658,2026-03,1,94000
OA0658,2026-04,3,282000
OA0658,2026-05,1,129000
OA0658,2026-06,2,188000
OA0658,2026-07,0,0
OA0662,2026-02,4,272000
OA0662,2026-03,4,272000
OA0662,2026-04,9,612000
OA0662,2026-05,3,387000
OA0662,2026-06,6,408000
OA0662,2026-07,7,903000
OA0668,2026-02,4,272000
OA0668,2026-03,5,645000
OA0668,2026-04,7,476000
OA0668,2026-05,3,237000
OA0668,2026-06,4,376000
OA0668,2026-07,5,395000
OA0672,2026-03,2,124000
OA0672,2026-04,2,124000
OA0672,2026-05,3,387000
OA0672,2026-06,1,129000
OA0673,2026-02,2,124000
OA0673,2026-03,2,136000
OA0673,2026-04,3,204000
OA0676,2026-02,30,2820000
OA0676,2026-03,25,1550000
OA0676,2026-04,25,1700000
OA0676,2026-06,40,5160000
OA0676,2026-07,50,3100000
OA0677,2026-02,39,2652000
OA0677,2026-03,29,3741000
OA0677,2026-04,19,2451000
OA0677,2026-05,74,5032000
OA0677,2026-06,37,2516000
OA0677,2026-07,40,3760000
OA0678,2026-02,2,136000
OA0678,2026-03,3,186000
OA0678,2026-05,1,129000
OA0678,2026-06,1,79000
OA0678,2026-07,2,136000
OA0679,2026-02,18,1224000
OA0679,2026-03,9,711000
OA0679,2026-04,14,868000
OA0679,2026-05,6,774000
OA0679,2026-06,17,1343000
OA0679,2026-07,9,558000
OA0680,2026-02,1,62000
OA0680,2026-03,1,62000
OA0680,2026-04,10,790000
OA0680,2026-05,3,204000
OA0681,2026-02,15,930000
OA0681,2026-03,17,1598000
OA0681,2026-04,23,1817000
OA0681,2026-05,27,2538000
OA0681,2026-06,25,1975000
OA0681,2026-07,15,1410000
OA0682,2026-03,1,68000
OA0683,2026-02,3,186000
OA0684,2026-02,1,62000
OA0684,2026-03,1,79000
OA0684,2026-04,2,158000
OA0684,2026-05,1,62000
OA0685,2026-02,1,62000
OA0688,2026-02,13,1222000
OA0688,2026-03,11,1034000
OA0688,2026-04,26,2444000
OA0688,2026-05,4,248000
OA0688,2026-06,16,2064000
OA0688,2026-07,18,1692000
OA0689,2026-02,1,68000
OA0692,2026-02,3,204000
OA0692,2026-03,3,237000
OA0692,2026-04,5,310000
OA0692,2026-05,2,158000
OA0693,2026-02,31,1922000
OA0693,2026-04,44,4136000
OA0693,2026-05,33,4257000
OA0693,2026-06,24,3096000
OA0693,2026-07,42,2856000
OA0695,2026-02,1,62000
OA0695,2026-03,3,186000
OA0698,2026-02,1,62000
OA0700,2026-02,26,1768000
OA0700,2026-03,41,2788000
OA0700,2026-04,38,3572000
OA0700,2026-05,30,1860000
OA0700,2026-06,43,5547000
OA0700,2026-07,35,4515000
OA0701,2026-02,1,94000
OA0701,2026-03,19,1292000
OA0701,2026-04,9,1161000
